id,Superclass_id,Superclass_label,Class_Label,Suggested_label
23,https://identifiers.org/ito:ITO_00745,Action localization,Action Segmentation,Action localization
189,https://identifiers.org/ito:ITO_00745,Action localization,Temporal Action Localization,Action localization
21,https://identifiers.org/ito:ITO_00101,Vision process,Action Detection,Activity detection
190,https://identifiers.org/ito:ITO_00453,Temporal action localization,Temporal Action Proposal Generation,Activity localization
221,https://identifiers.org/ito:ITO_00453,Temporal action localization,Weakly Supervised Action Localization,Activity localization
20,https://identifiers.org/ito:ITO_00407,Video process,Action Classification,Activity recognition
22,https://identifiers.org/ito:ITO_00547,Activity recognition,Action Recognition,Activity recognition
24,https://identifiers.org/ito:ITO_00407,Video process,Activity Recognition in Videos,Activity recognition
56,https://identifiers.org/ito:ITO_00547,Activity recognition,Egocentric Activity Recognition,Activity recognition
78,https://identifiers.org/ito:ITO_00547,Activity recognition,Group Activity Recognition,Activity recognition
84,https://identifiers.org/ito:ITO_00101,Vision process,Human Interaction Recognition,Activity recognition
87,https://identifiers.org/ito:ITO_00101,Vision process,Human-object Interaction Detection,Activity recognition
126,https://identifiers.org/ito:ITO_00547,Activity recognition,Multimodal Activity Recognition,Activity recognition
172,https://identifiers.org/ito:ITO_17114,Action recognition,Self-supervised Action Recognition,Activity recognition
182,https://identifiers.org/ito:ITO_17116,3D action recognition,Skeleton Based Action Recognition,Activity recognition
19,https://identifiers.org/ito:ITO_00407,Video process,Abnormal Event Detection in Video,Anomaly detection
179,https://identifiers.org/ito:ITO_00462,Abnormal event detection in video,Semi-supervised Anomaly Detection,Anomaly detection
58,https://identifiers.org/ito:ITO_00737,Emotion recognition,Emotion Recognition in Conversation,Emotion recognition
127,https://identifiers.org/ito:ITO_00737,Emotion recognition,Multimodal Emotion Recognition,Emotion recognition
185,https://identifiers.org/ito:ITO_00737,Emotion recognition,Speech Emotion Recognition,Emotion recognition
0,,,3D Face Reconstruction,Facial recognition and modelling
26,https://identifiers.org/ito:ITO_00177,Facial recognition and modelling,Age Estimation,Facial recognition and modelling
27,https://identifiers.org/ito:ITO_00178,Face recognition,Age-invariant Face Recognition,Facial recognition and modelling
51,https://identifiers.org/ito:ITO_00183,Face verification,Disguised Face Verification,Facial recognition and modelling
59,https://identifiers.org/ito:ITO_00177,Facial recognition and modelling,Face Alignment,Facial recognition and modelling
61,https://identifiers.org/ito:ITO_00177,Facial recognition and modelling,Face Detection,Facial recognition and modelling
62,https://identifiers.org/ito:ITO_00177,Facial recognition and modelling,Face Hallucination,Facial recognition and modelling
63,https://identifiers.org/ito:ITO_00177,Facial recognition and modelling,Face Identification,Facial recognition and modelling
65,https://identifiers.org/ito:ITO_00177,Facial recognition and modelling,Face Verification,Facial recognition and modelling
66,https://identifiers.org/ito:ITO_00177,Facial recognition and modelling,Facial Action Unit Detection,Facial recognition and modelling
67,https://identifiers.org/ito:ITO_00177,Facial recognition and modelling,Facial Beauty Prediction,Facial recognition and modelling
68,https://identifiers.org/ito:ITO_00177,Facial recognition and modelling,Facial Expression Recognition,Facial recognition and modelling
69,https://identifiers.org/ito:ITO_00177,Facial recognition and modelling,Facial Landmark Detection,Facial recognition and modelling
82,https://identifiers.org/ito:ITO_00178,Face recognition,Heterogeneous Face Recognition,Facial recognition and modelling
138,https://identifiers.org/ito:ITO_00180,Face detection,Occluded Face Detection,Facial recognition and modelling
195,https://identifiers.org/ito:ITO_00191,Facial landmark detection,Unsupervised Facial Landmark Detection,Facial recognition and modelling
75,https://identifiers.org/ito:ITO_00131,Time series process,Gesture Recognition,Gesture recognition
79,https://identifiers.org/ito:ITO_00945,Gesture recognition,Hand Gesture Recognition,Gesture recognition
89,http://edamontology.org/operation_3553,Image tagging,Image Captioning,Image captioning
150,https://identifiers.org/ito:ITO_00889,Image captioning,Phrase Grounding,Image captioning
31,https://identifiers.org/ito:ITO_01537,Biomedical vision process,Breast Tumour Classification,Image classification
52,https://identifiers.org/ito:ITO_01160,Image classification,Document Image Classification,Image classification
70,https://identifiers.org/ito:ITO_01160,Image classification,Few-shot Image Classification,Image classification
71,https://identifiers.org/ito:ITO_01160,Image classification,Fine-grained Image Classification,Image classification
88,https://identifiers.org/ito:ITO_01160,Image classification,Hyperspectral Image Classification,Image classification
90,https://identifiers.org/ito:ITO_00101,Vision process,Image Classification,Image classification
163,,,Retinal OCT Disease Classification,Image classification
168,https://identifiers.org/ito:ITO_01160,Image classification,Satellite Image Classification,Image classification
173,https://identifiers.org/ito:ITO_01160,Image classification,Self-supervised Image Classification,Image classification
176,https://identifiers.org/ito:ITO_01160,Image classification,Semi-supervised Image Classification,Image classification
180,https://identifiers.org/ito:ITO_01160,Image classification,Sequential Image Classification,Image classification
186,,,Stroke Classification from CT data,Image classification
