Benchmark,Task,Metric
CIFAR-10 , Conditional Image Generation ,Inception\\ score
CNN / Daily Mail , Document Summarization ,ROUGE\\-1
CNN / Daily Mail , Document Summarization ,ROUGE\\-2
CNN / Daily Mail , Document Summarization ,ROUGE\\-L
CUB 200 5-way 5-shot - Few,Shot Image Classification ,Accuracy
Charades , Action Classification ,MAP
CoNLL 2012 , Coreference Resolution ,Avg\\ F1
Cora , Document Classification ,Accuracy
E2E NLG Challenge - Data-to,Text Generation ,BLEU
FDDB , Face Detection ,AP
GTEA , Action Segmentation ,F1@10%
GTEA , Action Segmentation ,F1@50%
GTEA , Action Segmentation ,F1@25%
GTEA , Action Segmentation ,Acc
HMDB-51 , Action Recognition ,Average\\ accuracy\\ of\\ 3\\ splits
IEMOCAP , Emotion Recognition in Conversation ,Macro\\-F1
IEMOCAP , Emotion Recognition in Conversation ,Weighted\\-F1
IEMOCAP , Emotion Recognition in Conversation ,Accuracy
IJB-A , Face Verification ,TAR\\ at\\ FAR=0\\.01
KITTI Cars Easy , 3D Object Detection ,AP
KITTI Cars Hard , 3D Object Detection ,AP
KITTI Cars Moderate , 3D Object Detection ,AP
KITTI Cyclists Easy , 3D Object Detection ,AP
KITTI Depth Completion , Depth Completion ,MAE
KITTI Depth Completion , Depth Completion ,RMSE
Kinetics-400 , Action Classification ,Vid\\ acc@5
Kinetics-400 , Action Classification ,Vid\\ acc@1
Kinetics-600 , Action Classification ,Top\\-1\\ Accuracy
Labeled Faces in the Wild , Face Verification ,Accuracy
LineMOD , 6D Pose Estimation using RGB ,Mean\\ ADD
LineMOD , 6D Pose Estimation using RGB ,Accuracy
MELD , Emotion Recognition in Conversation ,Weighted\\-F1
MNIST-to-USPS , Domain Adaptation ,Accuracy
ModelNet40 , 3D Point Cloud Classification ,Overall\\ Accuracy
OntoNotes , Coreference Resolution ,F1
PASCAL Face , Face Detection ,AP
PTB , Constituency Grammar Induction ,Max\\ F1\\ \\(WSJ\\)
Penn Treebank , Constituency Parsing ,F1\\ score
SVHN-to-MNIST , Domain Adaptation ,Accuracy
ScanNetV2 , 3D Object Detection ,mAP\\-at\\-0\\.25
SemEval 2014 Task 4 Sub Task 2 - Aspect,Based Sentiment Analysis ,Restaurant\\ \\(Acc\\)
SemEval 2014 Task 4 Sub Task 2 - Aspect,Based Sentiment Analysis ,Mean\\ Acc\\ \\(Restaurant\\ \\+\\ Laptop\\)
SemEval 2014 Task 4 Sub Task 2 - Aspect,Based Sentiment Analysis ,Laptop\\ \\(Acc\\)
SemanticKITTI , 3D Semantic Segmentation ,mIoU
ShapeNet-Part , 3D Part Segmentation ,Class\\ Average\\ IoU
ShapeNet-Part , 3D Part Segmentation ,Instance\\ Average\\ IoU
Something-Something V1 , Action Recognition ,Top\\ 1\\ Accuracy
Sports-1M , Action Recognition ,Video\\ hit\\-at\\-1
Sports-1M , Action Recognition ,Video\\ hit\\-at\\-5
THUMOS’14 , Action Recognition ,mAP\\-at\\-0\\.4
THUMOS’14 , Action Recognition ,mAP\\-at\\-0\\.5
THUMOS’14 , Action Recognition ,mAP\\-at\\-0\\.3
TREC Robust04 - Ad,Hoc Information Retrieval ,P\\-at\\-20
TREC Robust04 - Ad,Hoc Information Retrieval ,MAP
UCF101 , Action Recognition ,3\\-fold\\ Accuracy
WFLW , Face Alignment ,AUC\\-at\\-0\\.1\\ \\(all\\)
WikiSQL , Code Generation ,Execution\\ Accuracy
WikiSQL , Code Generation ,Exact\\ Match\\ Accuracy
YouTube Faces DB , Face Verification ,Accuracy
cvusa - Cross-View Image-to,Image Translation ,SSIM
